light,sound,motion,contour_average,datetime
270.8333333333333,288.01666666666665,0.11666666666666667,0.005600405910809782,05/01/18 13:56:00
265.98333333333335,288.5833333333333,0.95,0.10080210102333544,05/01/18 14:57:00
261.4,295.78333333333336,1.0,0.45835328631673095,05/01/18 15:57:00
253.68333333333334,308.0833333333333,1.0,0.7250971561196022,05/01/18 16:57:00
251.66666666666666,277.0,0.18333333333333332,0.1754081800461072,05/01/18 17:57:00
249.7,297.6,0.31666666666666665,0.04989410458537476,05/01/18 18:57:00
246.95,295.43333333333334,1.0,0.7361225799830956,05/01/18 19:58:00
245.11666666666667,297.65,1.0,0.8893914130585255,05/01/18 20:58:00
245.05,308.68333333333334,1.0,1.5775006680932406,05/01/18 21:58:00
250.58333333333334,313.5833333333333,0.9833333333333333,0.3794882090907227,05/01/18 22:59:00
252.31666666666666,312.15,1.0,0.24243671245948312,05/01/18 23:59:00
248.51666666666668,301.8333333333333,0.9666666666666667,0.11906472510762826,05/02/18 00:59:00
248.15,283.71666666666664,1.0,0.21415883362073967,05/02/18 02:00:00
248.03333333333333,271.05,0.5,0.12083132582544726,05/02/18 03:00:00
251.2,258.6166666666667,0.0,0.0,05/02/18 04:00:00
248.0,286.3666666666667,0.0,0.0,05/02/18 05:00:00
252.3,282.21666666666664,0.05,0.006846502142309205,05/02/18 06:00:00
257.95,284.81666666666666,0.13333333333333333,0.04619478765598036,05/02/18 07:00:00
264.5833333333333,279.78333333333336,0.13333333333333333,0.02365834867959814,05/02/18 08:01:00
264.93333333333334,284.43333333333334,0.08333333333333333,0.0063060058813201,05/02/18 09:01:00
275.1666666666667,287.81666666666666,0.03333333333333333,0.004131611170359837,05/02/18 10:02:00
277.3666666666667,295.5,0.6666666666666666,0.1134699614702354,05/02/18 11:02:00
276.3666666666667,300.3333333333333,0.2,0.029885013813309103,05/02/18 12:02:00
269.25,262.31666666666666,0.4666666666666667,0.15377338662579962,05/02/18 13:02:00
273.93333333333334,292.76666666666665,0.7166666666666667,0.16050541027764517,05/02/18 14:02:00
268.28333333333336,293.85,0.6333333333333333,0.15401380117017477,05/02/18 15:02:00
263.43333333333334,295.48333333333335,0.65,0.10713043596902945,05/02/18 16:02:00
261.3666666666667,285.6666666666667,0.95,0.07845547775564814,05/02/18 17:03:00
252.36666666666667,293.1,0.31666666666666665,0.030410352816496112,05/02/18 18:03:00
252.0,313.96666666666664,0.36666666666666664,0.06605750354314266,05/02/18 19:03:00
245.6,273.3833333333333,1.0,0.5214953548597876,05/02/18 20:03:00
251.13333333333333,289.68333333333334,1.0,0.6382002758420485,05/02/18 21:03:00
249.11666666666667,306.0833333333333,1.0,0.8077991031711141,05/02/18 22:03:00
250.06666666666666,321.18333333333334,0.75,0.3414341884822339,05/02/18 23:04:00
246.68333333333334,279.65,0.08333333333333333,0.006469755121063207,05/03/18 00:04:00
249.98333333333332,295.28333333333336,0.05,0.004271176708126018,05/03/18 01:05:00
251.81666666666666,279.6333333333333,0.016666666666666666,0.0013142174432497012,05/03/18 02:05:00
249.1,293.23333333333335,0.016666666666666666,0.001413427561837456,05/03/18 03:07:00
248.93333333333334,300.18333333333334,0.0,0.0,05/03/18 04:07:00
250.45,316.8666666666667,0.0,0.0,05/03/18 05:07:00
251.05,293.55,0.0,0.0,05/03/18 06:07:00
258.1666666666667,278.3666666666667,0.016666666666666666,0.002680652680652681,05/03/18 07:08:00
261.28333333333336,283.6,0.15,0.03200788329244693,05/03/18 08:08:00
266.9,277.51666666666665,0.03333333333333333,0.00266673925843476,05/03/18 09:09:00
275.98333333333335,278.28333333333336,0.6,0.12011686370069216,05/03/18 10:09:00
275.56666666666666,288.3833333333333,0.7833333333333333,0.6071637114159257,05/03/18 11:09:00
271.1,275.98333333333335,0.8333333333333334,1.475373506006058,05/03/18 12:09:00
272.56666666666666,309.23333333333335,0.4,0.08241505195946121,05/03/18 13:09:00
275.76666666666665,281.5833333333333,0.9333333333333333,0.09120500771408846,05/03/18 14:11:00
271.23333333333335,299.8333333333333,1.0,0.40919814598990345,05/03/18 15:13:00
261.3666666666667,296.0,1.0,0.4526548863843962,05/03/18 16:13:00
261.8333333333333,260.28333333333336,0.8,0.40508817379795264,05/03/18 17:14:00
259.56666666666666,300.2,0.0,0.0,05/03/18 18:14:00
255.08333333333334,287.6666666666667,0.6,0.2512125876724634,05/03/18 19:14:00
248.51666666666668,274.4,1.0,0.978814865158116,05/03/18 20:15:00
248.0,293.15,1.0,1.328541656893401,05/03/18 21:16:00
253.15,310.23333333333335,1.0,0.9397887807621916,05/03/18 22:16:00
255.76666666666668,310.8333333333333,0.8,0.20983851662407543,05/03/18 23:16:00
252.11666666666667,311.76666666666665,0.26666666666666666,0.06254487246476058,05/04/18 00:16:00
252.6,280.78333333333336,0.016666666666666666,0.0017421602787456446,05/04/18 01:16:00
254.38333333333333,264.48333333333335,0.0,0.0,05/04/18 02:16:00
253.93333333333334,261.46666666666664,0.0,0.0,05/04/18 03:16:00
254.15,288.8333333333333,0.0,0.0,05/04/18 04:17:00
253.06666666666666,257.0833333333333,0.0,0.0,05/04/18 05:17:00
256.3666666666667,276.03333333333336,0.25,0.04575199355401128,05/04/18 06:17:00
264.9166666666667,285.55,0.03333333333333333,0.0020689655172413794,05/04/18 07:17:00
266.71666666666664,269.93333333333334,0.15,0.011362227998817321,05/04/18 08:18:00
272.46666666666664,294.0833333333333,0.13333333333333333,0.010172091421362665,05/04/18 09:18:00
281.0833333333333,295.8666666666667,0.06666666666666667,0.005353445972314421,05/04/18 10:18:00
281.6,280.1,0.06666666666666667,0.003881389789327318,05/04/18 11:18:00
275.76666666666665,291.35,0.15,0.012050387483196746,05/04/18 12:18:00
275.2,279.73333333333335,0.06666666666666667,0.0048556744073507355,05/04/18 13:18:00
275.8833333333333,288.23333333333335,0.15,0.010201562974344698,05/04/18 14:18:00
272.18333333333334,292.43333333333334,0.21666666666666667,0.04387765308031476,05/04/18 15:18:00
267.15,321.9,0.05,0.004325359794284766,05/04/18 16:18:00
261.35,291.46666666666664,0.0,0.0,05/04/18 17:19:00
255.06666666666666,281.05,0.0,0.0,05/04/18 18:19:00
254.18333333333334,298.8833333333333,0.0,0.0,05/04/18 19:19:00
254.08333333333334,276.51666666666665,0.016666666666666666,0.0014942528735632185,05/04/18 20:19:00
252.35,271.56666666666666,0.0,0.0,05/04/18 21:19:00
253.25,315.03333333333336,0.016666666666666666,0.0007445589919816725,05/04/18 22:20:00
252.38333333333333,279.78333333333336,0.0,0.0,05/04/18 23:20:00
252.68333333333334,302.56666666666666,0.0,0.0,05/05/18 00:20:00
251.43333333333334,248.53333333333333,0.0,0.0,05/05/18 01:22:00
248.93333333333334,254.73333333333332,0.0,0.0,05/05/18 02:24:00
251.76666666666668,304.9,0.0,0.0,05/05/18 03:24:00
252.05,296.01666666666665,0.0,0.0,05/05/18 04:24:00
253.36666666666667,273.53333333333336,0.0,0.0,05/05/18 05:25:00
252.86666666666667,272.6333333333333,0.0,0.0,05/05/18 06:25:00
257.56666666666666,288.98333333333335,0.0,0.0,05/05/18 07:25:00
260.1,275.15,0.0,0.0,05/05/18 08:25:00
259.35,280.71666666666664,0.0,0.0,05/05/18 09:25:00
261.81666666666666,289.05,0.0,0.0,05/05/18 10:25:00
264.23333333333335,289.73333333333335,0.0,0.0,05/05/18 11:25:00
264.3666666666667,285.1,0.13333333333333333,0.014498234068711669,05/05/18 12:25:00
272.48333333333335,270.01666666666665,0.0,0.0,05/05/18 13:25:00
270.0833333333333,263.05,0.0,0.0,05/05/18 14:25:00
262.43333333333334,294.1166666666667,0.0,0.0,05/05/18 15:25:00
260.71666666666664,266.46666666666664,0.0,0.0,05/05/18 16:25:00
258.5,287.1333333333333,0.0,0.0,05/05/18 17:25:00
255.75,308.01666666666665,0.0,0.0,05/05/18 18:25:00
253.45,283.85,0.0,0.0,05/05/18 19:25:00
252.83333333333334,317.2,0.3,0.036304677108976446,05/05/18 20:25:00
251.9,307.6,0.35,0.018457313783296958,05/05/18 21:25:00
252.58333333333334,267.5833333333333,0.0,0.0,05/05/18 22:25:00
253.46666666666667,281.03333333333336,0.0,0.0,05/05/18 23:26:00
250.86666666666667,279.03333333333336,0.0,0.0,05/06/18 00:26:00
249.86666666666667,287.6666666666667,0.0,0.0,05/06/18 01:27:00
253.36666666666667,296.76666666666665,0.0,0.0,05/06/18 02:27:00
250.15,272.5,0.0,0.0,05/06/18 03:28:00
251.05,297.8666666666667,0.0,0.0,05/06/18 04:28:00
252.61666666666667,284.43333333333334,0.0,0.0,05/06/18 05:28:00
251.55,250.68333333333334,0.0,0.0,05/06/18 06:28:00
261.56666666666666,265.31666666666666,0.0,0.0,05/06/18 07:28:00
263.55,281.01666666666665,0.0,0.0,05/06/18 08:28:00
271.3666666666667,281.0,0.0,0.0,05/06/18 09:28:00
281.1666666666667,277.1,0.0,0.0,05/06/18 10:28:00
272.45,290.1,0.0,0.0,05/06/18 11:28:00
277.56666666666666,289.06666666666666,0.0,0.0,05/06/18 12:28:00
266.8,285.1,0.1,0.010796614714888892,05/06/18 13:28:00
270.6666666666667,284.43333333333334,0.5,0.05406214163037339,05/06/18 14:28:00
267.03333333333336,273.51666666666665,0.7833333333333333,0.06765115878092341,05/06/18 15:28:00
264.1333333333333,284.43333333333334,0.95,0.19460231586611376,05/06/18 16:28:00
258.71666666666664,286.51666666666665,0.43333333333333335,0.03388340909542511,05/06/18 17:28:00
257.96666666666664,260.65,0.1,0.009103818096041516,05/06/18 18:28:00
253.05,269.85,0.5666666666666667,0.15022383006200524,05/06/18 19:28:00
248.96666666666667,288.81666666666666,1.0,0.2992339149019268,05/06/18 20:28:00
248.55,264.8333333333333,1.0,0.6108838198099397,05/06/18 21:28:00
251.78333333333333,268.31666666666666,0.95,0.14168714642053112,05/06/18 22:28:00
250.83333333333334,257.6333333333333,0.9333333333333333,0.07791354194732418,05/06/18 23:28:00
254.91666666666666,280.1666666666667,0.4166666666666667,0.15251744650552074,05/07/18 00:28:00
251.16666666666666,276.3666666666667,0.0,0.0,05/07/18 01:28:00
252.21666666666667,278.6666666666667,0.0,0.0,05/07/18 02:28:00
249.8,288.0,0.05,0.004386225677728261,05/07/18 03:28:00
252.9,272.3,0.0,0.0,05/07/18 04:28:00
251.85,280.31666666666666,0.08333333333333333,0.016893463261884314,05/07/18 05:28:00
259.48333333333335,298.95,0.13333333333333333,0.01953913105643616,05/07/18 06:28:00
258.46666666666664,294.23333333333335,0.03333333333333333,0.002383843535349856,05/07/18 07:28:00
263.45,275.0,0.11666666666666667,0.01166788478733022,05/07/18 08:28:00
272.53333333333336,309.7,0.16666666666666666,0.021107782790791896,05/07/18 09:28:00
279.6333333333333,288.51666666666665,0.8333333333333334,0.06878524470021553,05/07/18 10:28:00
279.1666666666667,289.93333333333334,0.7666666666666667,0.05421028452359005,05/07/18 11:28:00
278.51666666666665,277.51666666666665,0.7666666666666667,0.11969498259268323,05/07/18 12:29:00
273.6666666666667,288.3703703703704,0.8148148148148148,0.0722694518155436,05/07/18 13:29:00
